Unnamed: 0,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
7064,Denmark,Potatoes,1996,367500,703.0,3672.0,7.31
6244,Central African Republic,Plantains and others,2007,29078,1342.0,22.87,25.88
18000,Lithuania,Wheat,1993,23718,656.0,936.0,5.79
6892,Colombia,Sorghum,2011,38975,3240.0,53797.0,22.33
4787,Brazil,Sweet potatoes,2013,130913,1761.0,367778.0,20.07
531,Argentina,Soybeans,1999,24450,591.0,62831.39,17.15
2374,Bangladesh,Wheat,2013,30138,2666.0,15330.16,26.59
22481,Pakistan,"Rice, paddy",2002,30192,494.0,10881.83,25.61
15700,Italy,Maize,1990,76375,832.0,100596.4,7.97
26966,Turkey,Wheat,2007,21675,593.0,48715.51,11.87
15882,Italy,Maize,2004,94975,832.0,83810.0,7.74
19554,Mexico,Cassava,1999,136634,758.0,34468.93,19.74
10620,India,Soybeans,1990,10145,1083.0,75000.0,26.91
21404,Nicaragua,Sorghum,2001,19846,2280.0,3603.5,26.78
3291,Brazil,Soybeans,1997,22977,1761.0,110276.11,20.77
11614,India,Potatoes,1996,169913,1083.0,56114.0,23.81
6781,Colombia,"Rice, paddy",2005,48388,3240.0,117881.45,27.56
3029,Brazil,Yams,1994,91667,1761.0,84312.78,18.42
19943,Mexico,Maize,2006,30012,758.0,50891.95,16.37
8526,El Salvador,Sorghum,2006,18397,1784.0,2265.72,26.14
9154,Germany,Potatoes,2013,398258,700.0,43756.1,6.0
10809,India,Soybeans,1991,7825,1083.0,72133.0,25.74
24725,South Africa,Maize,1996,27043,495.0,19508.0,18.49
5306,Burundi,"Rice, paddy",2009,32680,1274.0,177.75,21.42
25406,Spain,Wheat,1999,20987,636.0,33614.0,17.14
18927,Mauritius,Potatoes,2002,220116,2041.0,606.85,24.4
22980,Pakistan,"Rice, paddy",2011,35939,494.0,1979.27,24.98
19012,Mexico,Sorghum,1990,32888,758.0,34468.93,19.27
20122,Mexico,Wheat,2008,50134,758.0,61732.11,20.41
22272,Pakistan,Maize,1999,17169,494.0,20450.0,23.8
3684,Brazil,Sorghum,2001,18654,1761.0,151523.0,24.99
7774,Ecuador,Soybeans,2001,18900,2274.0,7344.0,17.39
1980,Azerbaijan,Maize,2013,53903,447.0,489.8,14.12
27484,United Kingdom,Potatoes,1990,365161,1220.0,29517.0,10.4
7894,Ecuador,Maize,2007,23105,2274.0,14156.16,17.44
19070,Mexico,"Rice, paddy",1991,40954,758.0,34468.93,21.2
9930,Guyana,Plantains and others,2006,35055,2387.0,343.12,27.49
8871,France,Soybeans,2010,27495,867.0,61903.0,10.41
1290,Australia,Sorghum,2001,25539,534.0,32710.0,12.29
11847,India,Soybeans,1997,10789,1083.0,52279.0,23.26
2314,Bangladesh,Soybeans,2009,14660,2666.0,13790.09,26.54
24633,South Africa,Sweet potatoes,1992,36324,495.0,16582.0,19.95
24088,Rwanda,Potatoes,2007,77618,1212.0,398.11,19.6
9129,Germany,Potatoes,2011,457565,700.0,43754.35,9.73
24988,South Africa,Sorghum,2006,25841,495.0,26857.0,15.26
20462,Montenegro,Maize,2011,42007,241.0,75.0,11.25
